,Year,NOC,Total,Event number,Medal share,GDP,GDP/capita,population (millions),GNI,number of 65+
283,1996,IND,1,271,0.12,641058240489.184,651.9581872956959,983.281218,389212066967.505,4.284854549108249
284,1996,IRL,4,271,0.49,109704907771.2,30159.34190454459,3.63751,69681199596.7742,11.404422255883832
285,1996,IRQ,0,271,0.0,45342487630.0563,2095.3737217977105,21.639332,10429801145.9387,3.332390297445411
286,1996,ISL,0,271,0.0,9561920769.22616,35557.27725098603,0.268916,7358660769.92481,11.39240506329114
287,1996,ISR,1,271,0.12,151966334119.463,26698.231574044803,5.692,111181175549.08,9.967076598735067
288,1996,ITA,34,271,4.18,1684627233211.13,29627.486948422396,56.860281,1299725812523.53,17.118010725272356
289,1996,JAM,6,271,0.74,13058496834.6734,5155.563886476655,2.532894,7169183805.85998,6.29615767576535
290,1996,JPN,14,271,1.72,3904273220115.03,31046.1701544648,125.757,4982754040068.36,15.508783606479163
291,1996,KAZ,10,271,1.23,58824692394.0305,3776.083914686216,15.578227,20821968251.1853,6.384500623851482
292,1996,KEN,8,271,0.98,34295373364.4757,1241.8779410577977,27.615736,11819958033.718,2.1777909522310033
293,1996,KGZ,0,271,0.0,2868094204.01132,619.6729331975024,4.6284,1788170586.16784,5.121726730619653
294,1996,LTU,1,271,0.12,18837373099.266,5230.260191549175,3.601613,8295451877.42771,12.548266568340352
295,1996,MAR,2,271,0.25,44503276933.315,1648.3248875551117,26.999093,42112593409.7454,3.8607074689509018
296,1996,MDA,2,271,0.25,4174442200.74922,1416.3648475903888,2.947293,1754299565.21739,10.071716656606586
297,1996,MEX,1,271,0.12,723343156837.845,7897.918606479357,91.586555,396991780930.073,4.565473611274057
298,1996,MOZ,1,271,0.12,3774016074.94064,234.70901678303122,16.079553,3764399842.39001,2.8971825273998597
299,1996,NAM,2,271,0.25,4869576677.10434,2951.1405465625858,1.650066,4017445537.64566,3.216719816055843
300,1996,NOR,7,271,0.86,266239041025.111,60766.63397308743,4.381336,161663617476.511,15.835032967113227
301,1996,NZL,6,271,0.74,106665233354.835,28581.25223870177,3.732,64917441376.4396,11.493140407288317
302,1996,PAK,0,271,0.0,130843154669.556,953.4254076611903,137.23481,61353009810.8316,3.452121222013569
303,1996,POL,17,271,2.09,230514657116.328,5968.114356721624,38.62437,159121694299.173,11.3665802186547
304,1996,ROU,17,271,2.09,107721592103.075,4762.437466436409,22.619004,36628932857.6062,12.226793894196225
305,1996,RUS,59,271,7.26,694405609132.078,4686.858831852651,148.160129,386290390744.498,12.112112159405584
306,1996,SGP,0,271,0.0,115076156531.859,31349.887251017513,3.670704,95604113475.1773,5.926955701140708
307,1996,SUR,0,271,0.0,2683293359.91634,6045.7138477816925,0.443834,854112219.451372,3.934579144454909
