Nation,NOC,Year,Sport,Event,Medal
Russia,EUN,1992,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Switzerland,SUI,1968,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
Switzerland,SUI,1972,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,GER,1956,Boxing,Boxing Men's Lightweight,Silver
USA,USA,1932,Diving,Diving Men's Platform,Bronze
Russia,URS,1960,Weightlifting,Weightlifting Men's Middleweight,Gold
Germany,GER,2004,Shooting,"Shooting Men's Running Target, 10 metres",Gold
Japan,JPN,2000,Judo,Judo Women's Lightweight,Bronze
Estonia,EST,1928,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Poland,POL,1932,Athletics,"Athletics Men's 10,000 metres",Gold
Poland,POL,1956,Fencing,"Fencing Men's Sabre, Team",Silver
Poland,POL,1960,Fencing,"Fencing Men's Sabre, Team",Silver
Poland,POL,1996,Sailing,Sailing Men's One Person Dinghy,Gold
Poland,POL,2004,Sailing,Sailing Men's One Person Dinghy,Bronze
Russia,URS,1956,Athletics,"Athletics Men's 5,000 metres",Gold
Russia,URS,1956,Athletics,"Athletics Men's 10,000 metres",Gold
Germany,GER,2004,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Austria,AUT,1936,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Gold
Russia,EUN,1992,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Gold
Russia,URS,1980,Athletics,Athletics Men's Decathlon,Silver
Russia,RUS,2000,Athletics,Athletics Women's Hammer Throw,Silver
Russia,RUS,2004,Athletics,Athletics Women's Hammer Throw,Gold
Russia,URS,1988,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Latvia,LAT,1992,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
Russia,URS,1972,Boxing,Boxing Men's Featherweight,Gold
Russia,URS,1956,Fencing,"Fencing Men's Sabre, Individual",Bronze
Russia,RUS,2008,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Russia,URS,1988,Weightlifting,Weightlifting Men's Heavyweight I,Gold
Russia,URS,1956,Athletics,Athletics Men's Decathlon,Bronze
Russia,URS,1960,Athletics,Athletics Men's Decathlon,Bronze
Russia,URS,1980,Swimming,Swimming Men's 100 metres Backstroke,Silver
Russia,URS,1972,Judo,Judo Men's Open Class,Silver
Russia,RUS,2012,Diving,Diving Men's Synchronized Springboard,Silver
Russia,URS,1968,Diving,Diving Women's Platform,Silver
Russia,RUS,2016,Judo,Judo Women's Half-Lightweight,Bronze
Georgia,GEO,2008,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Ukraine,UKR,2008,Diving,Diving Men's Synchronized Springboard,Bronze
Russia,URS,1964,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
Czech Republic,CZE,2016,Tennis,Tennis Women's Singles,Bronze
Poland,POL,1936,Athletics,Athletics Women's Javelin Throw,Bronze
Poland,POL,1972,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Poland,POL,1976,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Switzerland,SUI,1928,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
North Korea,PRK,1996,Judo,Judo Women's Extra-Lightweight,Gold
North Korea,PRK,2000,Judo,Judo Women's Half-Lightweight,Bronze
North Korea,PRK,2004,Judo,Judo Women's Lightweight,Silver
USA,USA,2012,Athletics,Athletics Men's High Jump,Silver
UK,GBR,1972,Shooting,"Shooting Mixed Running Target, 50 metres",Bronze
Russia,EUN,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Russia,URS,1980,Athletics,Athletics Men's Shot Put,Gold
Cuba,CUB,2016,Boxing,Boxing Men's Light-Heavyweight,Gold
Finland,FIN,1972,Archery,Archery Men's Individual,Bronze
USA,USA,1924,Boxing,Boxing Men's Flyweight,Gold
Panama,PAN,1948,Athletics,Athletics Men's 100 metres,Bronze
Panama,PAN,1948,Athletics,Athletics Men's 200 metres,Bronze
USA,USA,1932,Athletics,Athletics Men's Discus Throw,Silver
Cuba,CUB,2004,Judo,Judo Women's Half-Heavyweight,Bronze
Cuba,CUB,2004,Taekwondo,Taekwondo Women's Flyweight,Silver
Denmark,DEN,1948,Fencing,"Fencing Women's Foil, Individual",Silver
Denmark,DEN,1952,Fencing,"Fencing Women's Foil, Individual",Bronze
USA,USA,1924,Swimming,Swimming Women's 100 metres Freestyle,Gold
France,FRA,1972,Fencing,"Fencing Men's epee, Individual",Silver
France,FRA,1928,Athletics,"Athletics Men's 1,500 metres",Silver
Germany,GER,1928,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Bronze
Cuba,CUB,2008,Boxing,Boxing Men's Flyweight,Silver
Kenya,KEN,2000,Athletics,"Athletics Men's 1,500 metres",Bronze
Kenya,KEN,2004,Athletics,"Athletics Men's 1,500 metres",Silver
Netherlands,NED,1960,Swimming,Swimming Women's 400 metres Freestyle,Bronze
France,FRA,2016,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Russia,URS,1964,Boxing,Boxing Men's Light-Middleweight,Gold
Russia,URS,1968,Boxing,Boxing Men's Light-Middleweight,Gold
Morocco,MAR,2000,Athletics,"Athletics Men's 5,000 metres",Bronze
Finland,FIN,1920,Athletics,Athletics Men's Pentathlon,Bronze
China,CHN,1984,Weightlifting,Weightlifting Men's Bantamweight,Silver
Finland,FIN,1968,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Jamaica,JAM,1952,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
USA,USA,1996,Shooting,Shooting Men's Trap,Silver
USA,USA,1900,Cycling,Cycling Men's Sprint,Bronze
Kazakhstan,KAZ,2004,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
Canada,CAN,2008,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
Canada,CAN,2016,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
France,FRA,1928,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver
France,FRA,1928,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Bronze
UK,GBR,1908,Tennis,Tennis Women's Singles,Gold
Italy,ITA,1996,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Germany,GER,1928,Athletics,Athletics Men's 100 metres,Bronze
France,FRA,1984,Fencing,"Fencing Men's Sabre, Individual",Gold
France,FRA,1988,Fencing,"Fencing Men's Sabre, Individual",Gold
France,FRA,1992,Fencing,"Fencing Men's Sabre, Individual",Bronze
Germany,FRG,1972,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Australia,AUS,1968,Athletics,Athletics Women's 200 metres,Bronze
UK,GBR,1920,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Sweden,SWE,1920,Shooting,"Shooting Men's Running Target, Double Shot",Silver
Australia,AUS,1984,Swimming,Swimming Women's 400 metres Individual Medley,Silver
Germany,GER,1936,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Gold
Austria,AUT,1936,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver
Argentina,ARG,1928,Boxing,Boxing Men's Welterweight,Silver
USA,USA,1920,Athletics,Athletics Men's High Jump,Gold
France,FRA,1928,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Gold
Finland,FIN,1960,Athletics,Athletics Men's Pole Vault,Bronze
Germany,GDR,1976,Rowing,Rowing Men's Coxless Pairs,Gold
Germany,GDR,1980,Rowing,Rowing Men's Coxless Pairs,Gold
Australia,AUS,1956,Athletics,"Athletics Men's 1,500 metres",Bronze
USA,USA,1912,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
USA,USA,1912,Shooting,"Shooting Men's Dueling Pistol, 30 metres",Gold
USA,USA,1920,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
USA,USA,1896,Athletics,Athletics Men's 100 metres,Bronze
Australia,AUS,1900,Swimming,Swimming Men's 200 metres Freestyle,Gold
Australia,AUS,1900,Swimming,Swimming Men's 200 metres Obstacle Course,Gold
Canada,CAN,1948,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Bronze
Poland,POL,1980,Cycling,"Cycling Men's Road Race, Individual",Silver
Denmark,DEN,2012,Sailing,Sailing Men's Skiff,Bronze
Kenya,KEN,2008,Athletics,"Athletics Women's 1,500 metres",Gold
Poland,POL,1924,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Germany,GDR,1968,Athletics,Athletics Women's Shot Put,Silver
Germany,GDR,1988,Rowing,Rowing Men's Single Sculls,Gold
Germany,GER,1992,Rowing,Rowing Men's Single Sculls,Gold
Germany,GER,1996,Rowing,Rowing Men's Single Sculls,Bronze
Poland,POL,1980,Athletics,Athletics Women's 100 metres Hurdles,Bronze
USA,USA,1920,Swimming,Swimming Men's 400 metres Freestyle,Silver
Lithuania,LTU,2016,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Bronze
Netherlands,NED,1992,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Italy,ITA,1936,Athletics,Athletics Men's 800 metres,Silver
China,CHN,2004,Diving,Diving Women's Platform,Silver
China,CHN,2004,Diving,Diving Women's Synchronized Platform,Gold
France,FRA,1936,Cycling,"Cycling Men's Road Race, Individual",Silver
Russia,RUS,2008,Weightlifting,Weightlifting Men's Heavyweight,Bronze
France,FRA,1908,Cycling,Cycling Men's 100 kilometres,Bronze
Russia,URS,1988,Athletics,Athletics Men's Triple Jump,Silver
Cuba,CUB,1992,Weightlifting,Weightlifting Men's Middleweight,Silver
Cuba,CUB,1996,Weightlifting,Weightlifting Men's Middleweight,Gold
Canada,CAN,2000,Tennis,Tennis Men's Doubles,Gold
Kazakhstan,KAZ,2016,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
Australia,AUS,2016,Swimming,Swimming Men's 200 metres Backstroke,Silver
UK,GBR,1908,Athletics,"Athletics Men's 3,500 metres Walk",Gold
UK,GBR,1908,Athletics,Athletics Men's 10 mile Walk,Gold
France,FRA,1952,Fencing,"Fencing Men's Sabre, Team",Bronze
USA,USA,1964,Athletics,Athletics Men's 400 metres,Gold
France,FRA,1906,Rowing,Rowing Men's Single Sculls,Silver
Denmark,DEN,1948,Rowing,Rowing Men's Double Sculls,Silver
Norway,NOR,1908,Athletics,Athletics Men's Triple Jump,Bronze
Norway,NOR,2004,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Norway,NOR,2008,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Norway,NOR,2012,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Norway,NOR,1956,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
Denmark,DEN,1936,Rowing,Rowing Men's Coxless Pairs,Silver
Denmark,DEN,1912,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
Denmark,DEN,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
Denmark,DEN,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Gold
Denmark,DEN,1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Bronze
Norway,NOR,1952,Shooting,"Shooting Men's Running Target, Single And Double Shot",Gold
USA,USA,1960,Swimming,Swimming Men's 100 metres Freestyle,Silver
Sweden,SWE,1920,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Sweden,SWE,1952,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Sweden,SWE,1972,Swimming,Swimming Men's 200 metres Individual Medley,Gold
Sweden,SWE,1972,Swimming,Swimming Men's 400 metres Individual Medley,Gold
Sweden,SWE,2008,Cycling,Cycling Men's Individual Time Trial,Silver
Sweden,SWE,1948,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Finland,FIN,1928,Athletics,"Athletics Men's 1,500 metres",Gold
Belarus,BLR,2000,Judo,Judo Men's Lightweight,Bronze
Finland,FIN,1912,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
Iran,IRI,2012,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Georgia,GEO,2012,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Russia,EUN,1992,Diving,Diving Women's Springboard,Silver
Russia,RUS,1996,Diving,Diving Women's Springboard,Silver
Australia,AUS,2004,Diving,Diving Women's Synchronized Springboard,Bronze
Russia,RUS,2012,Athletics,Athletics Women's 20 kilometres Walk,Gold
Russia,RUS,1996,Athletics,Athletics Women's Triple Jump,Silver
New Zealand,NZL,1992,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Italy,ITA,1932,Gymnastics,Gymnastics Men's Rings,Bronze
Russia,URS,1956,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Russia,URS,1956,Gymnastics,Gymnastics Women's Horse Vault,Gold
Russia,URS,1956,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Russia,URS,1960,Gymnastics,Gymnastics Women's Individual All-Around,Gold
Russia,URS,1960,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Russia,URS,1960,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Russia,URS,1960,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Russia,URS,1960,Gymnastics,Gymnastics Women's Balance Beam,Silver
Russia,URS,1964,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Russia,URS,1964,Gymnastics,Gymnastics Women's Floor Exercise,Gold
Russia,URS,1964,Gymnastics,Gymnastics Women's Horse Vault,Silver
Russia,URS,1964,Gymnastics,Gymnastics Women's Uneven Bars,Bronze
Russia,URS,1964,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Germany,GDR,1980,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
France,FRA,1952,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Gold
Argentina,ARG,1960,Boxing,Boxing Men's Lightweight,Bronze
Romania,ROU,1964,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Romania,ROU,1964,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
USA,USA,1928,Swimming,Swimming Men's 100 metres Backstroke,Silver
Germany,GER,1960,Athletics,Athletics Women's Long Jump,Bronze
UK,GBR,2016,Diving,Diving Men's Springboard,Silver
UK,GBR,2016,Diving,Diving Men's Synchronized Springboard,Gold
Canada,CAN,1984,Rowing,Rowing Women's Double Sculls,Bronze
Canada,CAN,1992,Rowing,Rowing Women's Single Sculls,Bronze
Canada,CAN,1996,Rowing,Rowing Women's Single Sculls,Silver
France,FRA,1900,Fencing,"Fencing Men's epee, Masters, Individual",Bronze
Italy,ITA,1948,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",Bronze
USA,USA,1936,Boxing,Boxing Men's Flyweight,Bronze
UK,GBR,1948,Rowing,Rowing Men's Coxless Pairs,Gold
Sweden,SWE,1936,Sailing,Sailing Mixed Two Person Keelboat,Silver
Norway,NOR,1984,Cycling,"Cycling Men's Road Race, Individual",Bronze
USA,USA,1984,Athletics,Athletics Men's Shot Put,Bronze
Australia,AUS,2008,Swimming,Swimming Men's 100 metres Butterfly,Bronze
UK,GBR,1928,Cycling,"Cycling Men's Road Race, Team",Silver
UK,GBR,2004,Rowing,Rowing Women's Double Sculls,Bronze
Switzerland,SUI,1912,Art Competitions,Art Competitions Mixed Architecture,Gold
France,FRA,2012,Athletics,Athletics Men's Pole Vault,Gold
France,FRA,2016,Athletics,Athletics Men's Pole Vault,Silver
Australia,AUS,1960,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
Belarus,BLR,2000,Weightlifting,Weightlifting Men's Lightweight,Bronze
UK,GBR,2004,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
Australia,AUS,1956,Athletics,"Athletics Men's 10,000 metres",Bronze
Australia,AUS,2008,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
Jamaica,JAM,2000,Athletics,Athletics Women's 100 metres,Silver
USA,USA,1936,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Silver
USA,USA,1952,Athletics,Athletics Men's Pole Vault,Silver
Russia,URS,1972,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Russia,URS,1972,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Russia,URS,1972,Gymnastics,Gymnastics Women's Balance Beam,Silver
Greece,GRE,1906,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
Taiwan,TPE,2016,Archery,Archery Women's Team,Bronze
China,CHN,1992,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
China,CHN,1996,Swimming,Swimming Women's 50 metres Freestyle,Silver
China,CHN,1996,Swimming,Swimming Women's 100 metres Freestyle,Gold
China,CHN,2004,Weightlifting,Weightlifting Men's Featherweight,Silver
South Africa,RSA,2012,Swimming,Swimming Men's 200 metres Butterfly,Gold
South Africa,RSA,2016,Swimming,Swimming Men's 200 metres Freestyle,Silver
France,FRA,2016,Sailing,Sailing Men's Windsurfer,Bronze
France,FRA,2008,Cycling,Cycling Women's BMX,Silver
Belgium,BEL,1912,Fencing,"Fencing Men's epee, Individual",Bronze
Netherlands,NED,1928,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
France,FRA,2004,Gymnastics,Gymnastics Women's Uneven Bars,Gold
UK,GBR,1908,Racquets,Racquets Men's Singles,Silver
UK,GBR,1908,Racquets,Racquets Men's Doubles,Bronze
UK,GBR,1906,Athletics,Athletics Men's High Jump,Gold
UK,GBR,1906,Athletics,Athletics Men's Triple Jump,Silver
UK,GBR,1900,Athletics,Athletics Men's High Jump,Silver
UK,GBR,1900,Athletics,Athletics Men's Long Jump,Bronze
USA,USA,1952,Rowing,Rowing Men's Coxed Fours,Bronze
USA,USA,1904,Swimming,Swimming Men's 50 yard Freestyle,Silver
USA,USA,1904,Swimming,Swimming Men's 100 yard Freestyle,Bronze
USA,USA,1906,Athletics,Athletics Men's 110 metres Hurdles,Gold
France,FRA,1980,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Russia,URS,1976,Athletics,Athletics Women's 100 metres Hurdles,Bronze
Russia,RUS,2000,Athletics,Athletics Women's Triple Jump,Silver
Russia,RUS,2004,Athletics,Athletics Women's Long Jump,Gold
Russia,RUS,2004,Athletics,Athletics Women's Triple Jump,Bronze
Russia,RUS,2008,Athletics,Athletics Women's Long Jump,Silver
Russia,RUS,2008,Athletics,Athletics Women's Triple Jump,Silver
Canada,CAN,1992,Athletics,Athletics Men's 20 kilometres Walk,Silver
France,FRA,2000,Judo,Judo Women's Half-Heavyweight,Silver
France,FRA,1932,Sailing,Sailing Mixed One Person Dinghy,Gold
Russia,RUS,2000,Boxing,Boxing Men's Light-Heavyweight,Gold
Bulgaria,BUL,1988,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Silver
Bulgaria,BUL,1992,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver
Germany,FRG,1988,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
Germany,GER,2016,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
France,FRA,1906,Shooting,"Shooting Men's Free Pistol, 25 metres",Gold
France,FRA,1906,Shooting,Shooting Men's Dueling Pistol Au Vise 20 metres,Bronze
USA,USA,1992,Sailing,Sailing Men's One Person Dinghy,Silver
USA,USA,2012,Swimming,Swimming Women's 800 metres Freestyle,Gold
USA,USA,2016,Swimming,Swimming Women's 200 metres Freestyle,Gold
USA,USA,2016,Swimming,Swimming Women's 400 metres Freestyle,Gold
USA,USA,2016,Swimming,Swimming Women's 800 metres Freestyle,Gold
USA,USA,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
France,FRA,1996,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
Russia,URS,1968,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Russia,URS,1968,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Russia,URS,1972,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Russia,URS,1972,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Russia,URS,1976,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Russia,URS,1980,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Russia,URS,1980,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Russia,URS,1988,Athletics,Athletics Women's 400 metres Hurdles,Silver
Canada,CAN,1992,Boxing,Boxing Men's Light-Welterweight,Silver
South Korea,KOR,2004,Weightlifting,Weightlifting Men's Lightweight,Silver
South Korea,KOR,2004,Shooting,Shooting Women's Trap,Bronze
South Korea,KOR,2004,Shooting,Shooting Women's Double Trap,Silver
South Korea,KOR,1996,Athletics,Athletics Men's Marathon,Silver
South Korea,KOR,1996,Table Tennis,Table Tennis Men's Doubles,Bronze
Malaysia,MAS,2008,Badminton,Badminton Men's Singles,Silver
Malaysia,MAS,2012,Badminton,Badminton Men's Singles,Silver
Malaysia,MAS,2016,Badminton,Badminton Men's Singles,Silver
South Korea,KOR,2012,Taekwondo,Taekwondo Men's Flyweight,Silver
South Korea,KOR,2000,Badminton,Badminton Men's Doubles,Silver
South Korea,KOR,2004,Badminton,Badminton Men's Doubles,Silver
South Korea,KOR,1992,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
South Korea,KOR,2004,Table Tennis,Table Tennis Women's Doubles,Silver
South Korea,KOR,1988,Judo,Judo Men's Half-Lightweight,Gold
South Korea,KOR,2004,Badminton,Badminton Women's Doubles,Bronze
South Korea,KOR,2008,Badminton,Badminton Women's Doubles,Silver
South Korea,KOR,1988,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
South Korea,KOR,2008,Badminton,Badminton Mixed Doubles,Gold
South Korea,KOR,1988,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Bronze
